"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/14/23 9:12 PM,"Toxic Gamer","1548120223898689537",,"-1","en","<a href='https://www.blog2social.com' rel='nofollow'>Blog2Social APP</a>","The VALORANT Champions Tour Masters playoffs in Tokyo are just around the corner, but the most popular duelist is already all but certain because one knife-wielding agent stands out far above her competition.

https://t.co/dXZEn9bmf0 https://t.co/NmWrntUIOL",,,0.0,"1668969538879102983"
6/14/23 9:06 PM,"elixris","1362694726999183371",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @_SushantJha: The most outrageous stat you will ever see period.
VCT Masters Tokyo #VCTMasters 

Operator Kills on Attack:

?? Zmjjkk :…",,,91.0,"1668968104058314756"
6/14/23 9:05 PM,"??#LetsGoLiquid","1069407386299854848",,"-1","ja","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","VCT Masters Tokyo

????????…

?(??):6/16(?) tier1 1? (2/3???????)
?:0?(????????)

?????????????DM???????
#VALORANTMasters??????  #VCT",,,0.0,"1668967973812588546"
6/14/23 9:05 PM,"?BoTic","1623615254596026368",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @FNATIC: Tokyo, you ready for us? We're bringing a Watch Party all the way to you on the 18th! ??

Exclusive Fnatic Merch, all of the da…",,,22.0,"1668967962441838592"
6/14/23 9:05 PM,"nic","1375851816617971712",,"-1","pt","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @VALORANTBrasil: O VCT Masters Tokyo 2023 já tá rolando no Japão e o @heitoramatsu imaginou como seria se o Yoru tivesse dado um rolê pe…",,,91.0,"1668967868724117505"
6/14/23 9:02 PM,"Valorant Tracker","1233407284556050433","ValorantTracker","1233407284556050433","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Everything you need to know about VCT Masters Playoffs ??
https://t.co/EctLbxJxfr",,,0.0,"1668967248352931840"
6/14/23 9:02 PM,"am","1624031260590088193",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","VCT Masters Tokyo????
???????????

???6/25 tear3????2?

?????????

1?????????????
DMor?????????????????

#VCT 
#VALORANTMasters 
#MastersTokyo https://t.co/gi2dF00a8A",,,0.0,"1668967203495108609"
6/14/23 8:59 PM,"JohoTaxi Game","1237740988224770050",,"-1","ja","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","VCT Masters Tokyo??????????????????????Artisan NINJA FX (?)?? ????????????????????????????????????????? https://t.co/Ml5H4jY3e4",,,0.0,"1668966435220250625"
6/14/23 8:56 PM,"??????","1346145788213088257",,"-1","ja","<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>","VCT Masters Tokyo ???????????????????????

??6/19??2???????????
???????

?????(??+???+a)

?????DM?????????????????

??????????????????????????
#masterstokyo",,,0.0,"1668965615141556225"
6/14/23 8:55 PM,"?","1194327376726904832",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","vct masters tokyo ????
????????????????

???6/17 1????2?
??????????
?????????DM???????
#MastersTokyo
#VALORANTMasters     
#VALORANT",,,0.0,"1668965469280432128"
